date,unix_dt,couvain,autre
2020-12-31T12:00:00.000+0000,1609416000,0,47:86:36
2020-12-30T12:00:00.000+0000,1609329600,0,47:86:36
2020-12-29T12:00:00.000+0000,1609243200,0,47:86:36
2020-12-28T12:00:00.000+0000,1609156800,0,47:86:36
2020-12-27T12:00:00.000+0000,1609070400,0,47:86:36
2020-12-26T12:00:00.000+0000,1608984000,0,47:86:36
2020-12-25T12:00:00.000+0000,1608897600,0,47:86:36
2020-12-24T12:00:00.000+0000,1608811200,0,47:86:36
2020-12-23T12:00:00.000+0000,1608724800,0,47:86:36
2020-12-22T12:00:00.000+0000,1608638400,0,47:86:36
2020-12-21T12:00:00.000+0000,1608552000,0,47:86:36
2020-12-20T12:00:00.000+0000,1608465600,0,47:86:36
2020-12-19T12:00:00.000+0000,1608379200,0,47:86:36
2020-12-18T12:00:00.000+0000,1608292800,0,47:86:36
2020-12-17T12:00:00.000+0000,1608206400,0,47:86:36
2020-12-16T12:00:00.000+0000,1608120000,0,47:86:36
2020-12-15T12:00:00.000+0000,1608033600,0,47:86:36
2020-12-14T12:00:00.000+0000,1607947200,0,47:86:36
2020-12-13T12:00:00.000+0000,1607860800,0,47:86:36
2020-12-12T12:00:00.000+0000,1607774400,0,47:86:36
2020-12-11T12:00:00.000+0000,1607688000,0,47:86:36
2020-12-10T12:00:00.000+0000,1607601600,0,47:86:36
2020-12-09T12:00:00.000+0000,1607515200,0,47:86:36
2020-12-08T12:00:00.000+0000,1607428800,0,47:86:36
2020-12-07T12:00:00.000+0000,1607342400,0,47:86:36
2020-12-06T12:00:00.000+0000,1607256000,0,47:86:36
2020-12-05T12:00:00.000+0000,1607169600,0,47:86:36
2020-12-04T12:00:00.000+0000,1607083200,0,47:86:36
2020-12-03T12:00:00.000+0000,1606996800,0,47:86:36
2020-12-02T12:00:00.000+0000,1606910400,0,47:86:36
2020-12-01T12:00:00.000+0000,1606824000,0,47:86:36
2020-11-30T12:00:00.000+0000,1606737600,0,47:86:36
2020-11-29T12:00:00.000+0000,1606651200,0,47:86:36
2020-11-28T12:00:00.000+0000,1606564800,0,47:86:36
2020-11-27T12:00:00.000+0000,1606478400,0,47:86:36
2020-11-26T12:00:00.000+0000,1606392000,0,47:86:36
2020-11-25T12:00:00.000+0000,1606305600,0,47:86:36
2020-11-24T12:00:00.000+0000,1606219200,0,47:86:36
2020-11-23T12:00:00.000+0000,1606132800,0,47:86:36
2020-11-22T12:00:00.000+0000,1606046400,0,47:86:36
2020-11-21T12:00:00.000+0000,1605960000,0,47:86:36
2020-11-20T12:00:00.000+0000,1605873600,0,47:86:36
2020-11-19T12:00:00.000+0000,1605787200,0,47:86:36
2020-11-18T12:00:00.000+0000,1605700800,0,47:86:36
2020-11-17T12:00:00.000+0000,1605614400,0,47:86:36
2020-11-16T12:00:00.000+0000,1605528000,0,47:86:36
2020-11-15T12:00:00.000+0000,1605441600,0,47:86:36
2020-11-14T12:00:00.000+0000,1605355200,0,47:86:36
2020-11-13T12:00:00.000+0000,1605268800,0,47:86:36
2020-11-12T12:00:00.000+0000,1605182400,0,47:86:36
2020-11-11T12:00:00.000+0000,1605096000,0,47:86:36
2020-11-10T12:00:00.000+0000,1605009600,0.001,47:86:36
2020-11-09T12:00:00.000+0000,1604923200,0.001,47:86:36
2020-11-08T12:00:00.000+0000,1604836800,0.001,47:86:36
2020-11-07T12:00:00.000+0000,1604750400,0.002,47:86:36
2020-11-06T12:00:00.000+0000,1604664000,0.003,47:86:36
2020-11-05T12:00:00.000+0000,1604577600,0.004,47:86:36
2020-11-04T12:00:00.000+0000,1604491200,0.006,47:86:36
2020-11-03T12:00:00.000+0000,1604404800,0.008,47:86:36
2020-11-02T12:00:00.000+0000,1604318400,0.012,47:86:36
2020-11-01T12:00:00.000+0000,1604232000,0.018,47:86:36
2020-10-17T12:00:00.000+0000,1602936000,0.026,47:86:41
2020-10-16T12:00:00.000+0000,1602849600,0.038,47:86:41
2020-10-15T12:00:00.000+0000,1602763200,0.056,47:86:41
2020-10-14T12:00:00.000+0000,1602676800,0.082,47:86:41
2020-10-13T12:00:00.000+0000,1602590400,0.12,47:86:41
2020-10-12T12:00:00.000+0000,1602504000,0.177,47:86:41
2020-10-11T12:00:00.000+0000,1602417600,0.257,47:86:41
2020-10-10T12:00:00.000+0000,1602331200,0.374,47:86:41
2020-10-09T12:00:00.000+0000,1602244800,0.59,47:86:41
2020-10-08T12:00:00.000+0000,1602158400,0.682,47:86:41
2020-10-07T12:00:00.000+0000,1602072000,1.376,47:86:41
2020-10-06T12:00:00.000+0000,1601985600,2.692,47:86:41
2020-10-05T12:00:00.000+0000,1601899200,5.014,47:86:41
2020-10-04T12:00:00.000+0000,1601812800,8.192,47:86:41
2020-10-03T12:00:00.000+0000,1601726400,11.298,47:86:41
2020-10-02T12:00:00.000+0000,1601640000,13.488,47:86:41
2020-10-01T12:00:00.000+0000,1601553600,14.812,47:86:41
2020-09-30T12:00:00.000+0000,1601467200,15.956,47:86:41
2020-09-29T12:00:00.000+0000,1601380800,16.626,47:86:41
2020-09-28T12:00:00.000+0000,1601294400,17.681,47:86:41
2020-09-27T12:00:00.000+0000,1601208000,18.825,47:86:41
2020-09-26T12:00:00.000+0000,1601121600,20.773,47:86:41
2020-09-25T12:00:00.000+0000,1601035200,22.024,47:86:41
2020-09-24T12:00:00.000+0000,1600948800,23.217,47:86:41
2020-09-23T12:00:00.000+0000,1600862400,24.826,47:86:41
