dt,temp,humidity,wind_speed,rain_1h,snow_1h
1609459200,3.69,100,2.1,0,0
1609462800,3.75,93,2.1,0,0
1609466400,3.15,100,1,0,0
1609470000,2.76,100,1,0,0
1609473600,2.83,100,0.5,0,0
1609477200,2.88,100,1,0,0
1609480800,2.48,100,2.1,1.5,0
1609484400,2.56,93,2.1,0.5,0
1609488000,2.46,100,2.1,0,0
1609491600,3.11,100,1.5,0,0
1609495200,4.83,93,1.5,0,0
1609498800,5.87,81,3.1,0,0
1609502400,6.11,75,4.6,0,0
1609506000,7.19,70,5.1,0,0
1609509600,6.41,87,4.6,0.19,0
1609513200,6.13,70,2.6,0,0
1609516800,4.81,81,1.5,0,0
1609520400,3.2,86,4.1,0.5,0
1609524000,2.78,86,2.1,0.5,0
1609527600,2.88,86,0.53,0,0
1609531200,1.85,93,1.5,0,0
1609534800,1.35,93,1,0,0
1609538400,1.13,93,1.5,0,0
1609542000,1.16,93,1,0,0
1609545600,0.78,93,2.6,0,0
1609549200,0.84,93,1.5,0,0
1609552800,0.88,93,1,0,0
1609556400,0.83,100,0.5,0,0
1609560000,1.6,93,1.5,0,0
1609563600,1.22,100,1.5,0,0
1609567200,1.53,93,2.1,0,0
1609570800,1.61,93,3.6,0,0
1609574400,0.54,100,4.1,0,0
1609578000,-0.24,90,5.1,0,0
1609581600,-0.5,90,2.1,0,0
1609585200,-0.35,76,4.1,0,0
1609588800,-0.69,76,3.1,0,0
1609592400,-0.67,76,4.1,0,0
1609596000,-0.7,72,3.6,0,0
1609599600,-0.34,80,2.6,0,0
1609603200,-0.31,80,2.6,0,0
1609606800,-0.99,80,2.6,0,0
1609610400,-1.09,80,2.1,0,0
1609614000,-1.39,82,1,0,0
1609617600,-1.46,87,3.1,0,0
1609621200,-1.55,87,2.1,0,0
1609624800,-1.46,87,1.5,0,0
1609628400,-1.63,86,1,0,0
1609632000,-2.72,92,1,0,0
1609635600,-2.59,92,2.6,0,0
1609639200,-2.28,92,3.1,0,0
1609642800,-1.66,80,2.1,0,0
1609646400,-1.96,92,1,0,0
1609650000,-1.5,86,1.5,0,0
1609653600,-2.27,86,0.5,0,0
1609657200,-2.85,92,1.5,0,0
1609660800,-2.58,92,1.5,0,0
1609664400,0.64,74,2.6,0,0
1609668000,2.4,64,2.6,0,0
1609671600,4.27,60,1.5,0,0
1609675200,5.55,52,1,0,0
1609678800,6.18,45,1.5,0,0
1609682400,6.12,52,1.5,0,0
1609686000,5.25,88,2.6,0,0
1609689600,4.96,75,1.5,0,0
1609693200,3,75,1.5,0,0
1609696800,2.2,86,2.1,0,0
1609700400,2.28,86,3.6,0.33,0
1609704000,1.97,93,1,0,0
1609707600,1.87,93,2.1,0.23,0
1609711200,1.26,93,1,0,0
1609714800,0.27,100,1,0,0
1609718400,-0.11,93,0.5,0,0
1609722000,0.27,100,1,0,0
1609725600,-0.24,100,1,0,0
1609729200,-0.93,100,2.6,0,0
1609732800,-0.88,100,2.1,0,0
1609736400,-0.32,93,1.5,0.5,0
1609740000,-0.41,93,3.1,0,0
1609743600,-0.32,93,3.1,0,0
1609747200,0.09,80,2.1,0,0
1609750800,1.12,93,1,0,0
1609754400,1.84,93,2.6,0,0
1609758000,4.02,86,2.6,0.5,0
1609761600,3.68,86,1.5,0,0
1609765200,2.79,86,1.5,0,0
1609768800,3.35,80,1.5,0,0
1609772400,2.9,86,1.5,0.15,0
1609776000,2.95,86,2.1,0.15,0
1609779600,1.21,100,2.1,0,0
1609783200,0.83,100,0.5,0,0
1609786800,0.89,100,0.5,0.5,0
1609790400,0.92,100,1.5,0,0
1609794000,1.25,93,2.1,0.19,0
1609797600,1.32,93,2.1,0,0
1609801200,1.2,93,2.1,0,0
1609804800,1.12,93,2.1,0,0
1609808400,0.81,93,0.5,0,0
1609812000,0.48,100,2.6,0,0
1609815600,0.38,93,1.38,0,0
1609819200,0.48,93,1,0,0
1609822800,0.32,100,1,0.5,0
1609826400,0.21,100,1.5,0.5,0
1609830000,0.32,100,2.6,0.5,0
1609833600,0.68,100,2.6,0,0
1609837200,0.6,100,2.6,0,0
1609840800,0.68,100,3.1,0,0
1609840800,0.68,100,3.1,0,0
1609844400,1.21,93,2.1,0,0
1609848000,0.87,80,2.6,0,0
1609851600,1.61,80,2.1,0,0
1609855200,1.46,74,1.5,0,0
